"Read Details","Læs detaljer",module,Magento_AdminNotification
"Mark as Read","Marker som læst",module,Magento_AdminNotification
"Are you sure?","Er du sikker?",module,Magento_AdminNotification
Remove,Fjern,module,Magento_AdminNotification
"Messages Inbox",Indbakke,module,Magento_AdminNotification
"You have %1 new system messages","Du har %1 nye systembeskeder",module,Magento_AdminNotification
"You have %1 new system message","Du har %1 ny systembesked",module,Magento_AdminNotification
"Incoming Message",Beskeder,module,Magento_AdminNotification
close,luk,module,Magento_AdminNotification
Notifications,Meddelelser,module,Magento_AdminNotification
"The message has been marked as Read.","Meddelelsen er markeret som læst.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Vi kunne ikke markerer beskeden som læst.",module,Magento_AdminNotification
"Please select messages.","Vælg beskeder.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","%1 besked(er) er nu markeret som læst.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","%1 besked(er) er blevet slettet.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Vi kunne ikke slette på grund af en fejl.",module,Magento_AdminNotification
"The message has been removed.","Beskeden er blevet slettet.",module,Magento_AdminNotification
"1 Hour","1 time",module,Magento_AdminNotification
"2 Hours","2 timer",module,Magento_AdminNotification
"6 Hours","6 timer",module,Magento_AdminNotification
"12 Hours","12 timer",module,Magento_AdminNotification
"24 Hours","24 timer",module,Magento_AdminNotification
critical,kritisk,module,Magento_AdminNotification
major,alvorlig,module,Magento_AdminNotification
minor,mindre,module,Magento_AdminNotification
notice,info,module,Magento_AdminNotification
"Wrong message type","Forkert beskedtype",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Klik her for at gå til<a href=""%1""> Cachestyring</a> og forny cachen.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Synkronisering af mediebiblioteket er fuldført.",module,Magento_AdminNotification
"Close popup","Luk vindue",module,Magento_AdminNotification
Close,Luk,module,Magento_AdminNotification
"Critical System Messages","Kritiske systembeskeder",module,Magento_AdminNotification
"Major System Messages","Alvorlige systembeskeder",module,Magento_AdminNotification
"System messages",Systembeskeder,module,Magento_AdminNotification
"You created the order.","Du har oprettet ordren.",module,Magento_Authorizenet
"Order saving error: %1","Bestillingsfejl ikke gemt: %1",module,Magento_Authorizenet
"Please choose a payment method.","Vælg venligst betalingsmetode.",module,Magento_Authorizenet
"Credit Card: xxxx-%1","Kreditkort: xxxx-%1",module,Magento_Authorizenet
"amount %1","beløb %1",module,Magento_Authorizenet
authorize,authoriser,module,Magento_Authorizenet
refund,"betal tilbage",module,Magento_Authorizenet
"Gateway error: %1","Gateway fejl: %1",module,Magento_Authorizenet
"Something went wrong in the payment gateway.","Noget gik galt i betalingsgatewayen.",module,Magento_Authorizenet
"Invalid transaction ID.","Ugyldig transaktions ID.",module,Magento_Authorizenet
"Invalid amount for refund.","Ugyldig beløb for restitution.",module,Magento_Authorizenet
"Payment refunding error.","Tilbagebetalings fejl.",module,Magento_Authorizenet
"The transaction was declined because the response hash validation failed.","Transaktionen blev afvist, fordi svar Hash-valideringen mislykkedes.",module,Magento_Authorizenet
"There was a payment authorization error.","Der var en betaling autorisations fejl.",module,Magento_Authorizenet
"Credit Card Type",Kreditkorttype,module,Magento_Authorizenet
"Credit Card Number",Kreditkortnummer,module,Magento_Authorizenet
"Expiration Date",Udløbsdato,module,Magento_Authorizenet
"Card Verification Number","Kortnummer verifikation",module,Magento_Authorizenet
"Invalid Form Key. Please refresh the page.","Ugyldig form nøgle. Opdater venligst siden.",module,Magento_Backend
"Cache Storage Management","Cache lager styring",module,Magento_Backend
"Flush Magento Cache","Rens Magento Cache",module,Magento_Backend
"Flush Cache Storage","Rens Cache Lager",module,Magento_Backend
Invalidated,Ødelagt,module,Magento_Backend
Orders,Ordre,module,Magento_Backend
Amounts,Beløb,module,Magento_Backend
Bestsellers,Bestsellere,module,Magento_Backend
"Most Viewed Products","Mest sete produkter",module,Magento_Backend
"New Customers","Nye kunder",module,Magento_Backend
Customers,Kunder,module,Magento_Backend
Customer,Kunde,module,Magento_Backend
Guest,Gæst,module,Magento_Backend
Items,Antal,module,Magento_Backend
Total,"I alt",module,Magento_Backend
"Lifetime Sales","Totalt salg",module,Magento_Backend
"Average Order","Gennemsnits ordre",module,Magento_Backend
Average,Gennemsnit,module,Magento_Backend
Product,Produkt,module,Magento_Backend
Price,Pris,module,Magento_Backend
Quantity,Antal,module,Magento_Backend
Views,Visninger,module,Magento_Backend
Revenue,Avance,module,Magento_Backend
Tax,Moms/Skat,module,Magento_Backend
Shipping,Forsendelse,module,Magento_Backend
"Images (.gif, .jpg, .png)","Billeder (.gif, .jpg, .png)",module,Magento_Backend
"Media (.avi, .flv, .swf)","Medier (.avi, .flv, .swf)",module,Magento_Backend
"All Files","Alle Filer",module,Magento_Backend
"Reset to Default","Nulstil til standard",module,Magento_Backend
"All Store Views","Alle butiks visninger",module,Magento_Backend
"What is this?","Hvad er dette?",module,Magento_Backend
"Save Account","Gem konto",module,Magento_Backend
"My Account","Min Konto",module,Magento_Backend
"Account Information","Konto Information",module,Magento_Backend
"User Name",Brugernavn,module,Magento_Backend
"First Name",Fornavn,module,Magento_Backend
"Last Name",Efternavn,module,Magento_Backend
Email,E-Mail,module,Magento_Backend
"User Email","Bruger Email",module,Magento_Backend
"New Password","Ny adgangskode",module,Magento_Backend
"Password Confirmation","Adgangskode bekræftelse",module,Magento_Backend
"Current User Identity Verification","Aktuel bruger identitets kontrol",module,Magento_Backend
"Your Password","Din adgangskode",module,Magento_Backend
"Save Cache Settings","Gem Cache Indstillinger",module,Magento_Backend
"Catalog Rewrites","Katalog fornyelse",module,Magento_Backend
"Images Cache","Billede Cache",module,Magento_Backend
Clear,Slet,module,Magento_Backend
"Store Information","Butiks information",module,Magento_Backend
Name,Navn,module,Magento_Backend
"Root Category","Rod Kategori",module,Magento_Backend
"Default Store View","Standard Butiksvisning",module,Magento_Backend
"Store View Information","Butiksvisnings Information",module,Magento_Backend
Code,Kode,module,Magento_Backend
Disabled,"Slået fra",module,Magento_Backend
Enabled,Aktiveret,module,Magento_Backend
"Sort Order",Sorteringsorden,module,Magento_Backend
"Default Store","Standard Butik",module,Magento_Backend
"Set as Default","Sæt som standard",module,Magento_Backend
Stores,Butikker,module,Magento_Backend
"Create Website","Lav Website",module,Magento_Backend
"Create Store","Lav Butik",module,Magento_Backend
"Create Store View","Lav Butiks Design",module,Magento_Backend
Home,Forside,module,Magento_Backend
Reset,Nulstil,module,Magento_Backend
"Are you sure you want to do this?","Er du sikker på at du vil gøre dette?",module,Magento_Backend
"Add New Image","Tilføj Nyt Billede",module,Magento_Backend
"Reset Filter","Nulstil Filter",module,Magento_Backend
Search,Søg,module,Magento_Backend
Any,Alle,module,Magento_Backend
"All Countries","Alle Lande",module,Magento_Backend
From,Fra,module,Magento_Backend
To,Til,module,Magento_Backend
"Date selector","Dato Vælger",module,Magento_Backend
"[ deleted ]","[ slettet ]",module,Magento_Backend
"Select All","Vælge Alle",module,Magento_Backend
"Add New","Tilføj Ny",module,Magento_Backend
Export,Eksport,module,Magento_Backend
"Please correct the column format and try again.","Ret venligst kolonneformatet og prøv igen.",module,Magento_Backend
"Please select items.","Vælg venligst enheder.",module,Magento_Backend
Submit,Afsend,module,Magento_Backend
"Please correct the tab configuration and try again.","Ret venligst tab konfigurationen og prøv igen.",module,Magento_Backend
"You have logged out.","Du har logget af.",module,Magento_Backend
"The image cache was cleaned.","Billede cache er slettet.",module,Magento_Backend
"An error occurred while clearing the image cache.","En fejl opstod under nulstilling af billede cache.",module,Magento_Backend
"The JavaScript/CSS cache has been cleaned.","JavaScript/CSS cache er blevet slettet.",module,Magento_Backend
"An error occurred while clearing the JavaScript/CSS cache.","En fejl opstod under sletning af JavaScript/CSS cache.",module,Magento_Backend
"You flushed the cache storage.","Du har renset cache lager.",module,Magento_Backend
"The Magento cache storage has been flushed.","Magento cache lager er blevet renset.",module,Magento_Backend
"Last 24 Hours","Sidste 24 timer",module,Magento_Backend
"Last 7 Days","Sidste 7 dage",module,Magento_Backend
"Current Month","Indeværende måned",module,Magento_Backend
YTD,ÅTD,module,Magento_Backend
2YTD,2ÅTD,module,Magento_Backend
"You did not sign in correctly or your account is temporarily disabled.","Du har ikke logget ind korrekt eller din konto er midlertidig annuleret.",module,Magento_Backend
"Authentication error occurred.","Der er opståen en godkendelsesfejl.",module,Magento_Backend
Order,Rækkefølge,module,Magento_Backend
"Order #%1","Ordre #%1",module,Magento_Backend
"Access denied","Adgang nægtet",module,Magento_Backend
"If you continue to receive this message, please contact the store owner.","Hvis du bliver ved med at modtage denne meddelelse, kontakt venligst ejeren af butikken.",module,Magento_Backend
"Welcome, please sign in","Velkommen, log venligst ind",module,Magento_Backend
"user name","bruger navn",module,Magento_Backend
"Sign in","Log ind",module,Magento_Backend
"Select Range:","Vælg interval:",module,Magento_Backend
